id,id_authority,label_ent,type,name,names_associated,date_birth,date_end,region,country,description,sex,geo_loc,request
ORG_94765,,ORG,,Bahia,Bahia,,,,,,,,False
Q3632,,LOC,,Arauco,Arauco;Parauco;Araucoy,,,,,,,,False
PERS_87857,,PERS,,muchachas,muchachas,,,,,,,,False
LOC_83779,,LOC,,alta fron-tera,alta fron-tera,,,,,,,,False
ORG_40607,,ORG,,division,division,,,,,,,,False
PERS_31088,,PERS,,Ten^te Coronel de Art^aé,Ten^te Coronel de Art^aé,,,,,,,,False
PERS_40732,,PERS,,José T. Gonzales,In^te D^n José T. Gonzales,,,,,,,,False
Q16911,,LOC,,Lota,Lota,,,,,,,,False
Q178484,,ORG,,Mapuches,indios,,,,,,,,False
PERS_87861,,PERS,,jefe,jefe,,,,,,,,False
PERS_24847,,PERS,,hombres,hombres,,,,,,,,False
Q419,,LOC,,Perú,Perú,,,,,,,,False
Q14488,,LOC,,Lebu,Lebu,,,,,,,,False
PERS_81129,,PERS,,pícaros indios,pícaros indios,,,,,,,,False
PERS_18181,,PERS,,infantes,infantes,,,,,,,,False
PERS_12900,,PERS,,100 carabineros,100 carabineros,,,,,,,,False
Q33986,,LOC,,Valparaíso,Valparaiso;Valp^o,,,,,,,,False
Q6173167,,PERS,,Ángel Gallo Goyenechea,General D^n Cus-todio;Ángel Custodio Gallo,,,,,,,,False
Q310007,,PERS,,Pedro Leon,Pedro Leon,,,,,,,,True
PERS_17036,,PERS,,Mercurios,Mercurios,,,,,,,,False
Q187974,8261196.0,LOC,city in Chile,Santa Juana,Santa Juana,,,Concepción Province,Chile,commune of Chile,,-72.933333333 -37.166666666,True
PERS_73889,,PERS,,estrilones,estrilones,,,,,,,,False
ORG_96712,,ORG,,división,división,,,,,,,,False
LOC_55284,,LOC,,sud,sud,,,,,,,,False
PERS_19064,,PERS,,Corneliole,Corneliole,,,,,,,,False
PERS_90636,,PERS,,Intendente,Int^te,,,,,,,,False
Q1880,,LOC,,Concepción,Concep-cion;Concepcion,,,,,,,,False
PERS_75133,,PERS,,propio,propio,,,,,,,,False
PERS_56395,,PERS,,siete individuos,siete individuos,,,,,,,,False
Q17633149,,ORG,,Gobierno de Chile,Gob^o;Gobierno,,,,,,,,False
ORG_84978,,ORG,,tropa,tropa,,,,,,,,False
PERS_54928,,PERS,,desertor,desertor,,,,,,,,False
Q3873,,LOC,,Coronel,Coronel;Coronela,,,,,,,,False
Q16911,,LOC,,Lota,Lotay,,,,,,,,False
PERS_45259,,PERS,,Manuel 2^o Escala,Manuel 2^o Escala,,,,,,,,False
PERS_52378,,PERS,,ministros-llegado,ministros-llegado,,,,,,,,False
Q6097988,,PERS,,Rafael Sotomayor,Rafael Soto Mayor;Ministro Soto-mayor,,,,,,,,False
ORG_85382,,ORG,,ministerio,ministerio,,,,,,,,False
PERS_48841,,PERS,,Novoa,Novoa,,,,,,,,False
Q16280345,,PERS,,Los oficiales,Los oficiales,,,,,,,,True
PERS_57359,,PERS,,Gringo,Gringo,,,,,,,,False
PERS_16960,,PERS,,José Antonio Quezada,Joce Ant^o Queszada,,,,,,,,False
LOC_97785,,LOC,,Nagualgueno,Nagualgueno,,,,,,,,False
PERS_41113,,PERS,,Mauricio Barbosa,Mauricio Barboza;Coronel Barbosa,,,,,,,,False
ORG_69722,,ORG,,Gobiernotu,Gobiernotu,,,,,,,,False
LOC_90290,,LOC,,costa,costa,,,,,,,,False
LOC_38706,,LOC,,Imperialó,Imperialó,,,,,,,,False
LOC_63518,,LOC,,Imperial,Imperial,,,,,,,,False
Q17107613,,LOC,,Toltén,Toltén;Tolten,,,,,,,,False
PERS_54152,,PERS,,caciques,caciques,,,,,,,,False
ORG_41918,,ORG,,delImperial,delImperial,,,,,,,,False
LOC_52154,,LOC,,cuarteles de invierno,cuarteles de invierno,,,,,,,,False
LOC_94374,,LOC,,cuartel,cuartel,,,,,,,,False
Q1328,,PERS,,Manuel Montt,Pre-sidente;Presidente,,,,,,,,False
PERS_15708,,PERS,,25 hombres,25 hombres,,,,,,,,False
LOC_86087,,LOC,,Pontón,Pontón,,,,,,,,False
PERS_16348,,PERS,,Escala,Escala,,,,,,,,False
PERS_47745,,PERS,,Boonen,Boonen,,,,,,,,False
PERS_33880,,PERS,,Capitán Chaconle,Capitán Chaconle,,,,,,,,False
PERS_76573,,PERS,,Villalón,Villalón;Villalon,,,,,,,,False
PERS_95931,,PERS,,Matus,Matus,,,,,,,,False
Q16910,,LOC,,Los Ángeles,Angeles;Los Ángeles;los,,,,,,,,False
Q4233309,,PERS,,Cornelio Saavedra Rodríguez,Cornelio Saavedra;C. Saaved,,,,,,,,False
PERS_99138,,PERS,,Ulloa,Ulloa,,,,,,,,False
